date,player_team,opponent,map,kd,plus_minus,rating,source_url
05/11/25,Vitality,G2,mrg,16 - 14,+2,1.02,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8041
05/11/25,Vitality,G2,trn,25 - 7,+18,2.43,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8041
05/11/25,Vitality,Lynn Vision,nuke,14 - 11,+3,1.39,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8041
05/11/25,Vitality,Lynn Vision,d2,12 - 5,+7,1.38,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8041
04/11/25,Vitality,MOUZ,inf,36 - 29,+7,1.38,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8041
04/11/25,Vitality,MOUZ,nuke,21 - 10,+11,1.82,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8041
04/11/25,Vitality,MOUZ,trn,10 - 13,-3,0.95,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8041
03/11/25,Vitality,Virtus.pro,mrg,18 - 3,+15,2.02,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8041
03/11/25,Vitality,Virtus.pro,d2,12 - 12,0,1.13,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8041
03/11/25,Vitality,Virtus.pro,ovp,8 - 15,-7,0.62,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8041
12/10/25,Vitality,Falcons,d2,12 - 10,+2,1.17,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8040
12/10/25,Vitality,Falcons,trn,17 - 9,+8,1.12,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8040
12/10/25,Vitality,Falcons,inf,13 - 8,+5,0.99,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8040
11/10/25,Vitality,FaZe,d2,22 - 8,+14,1.88,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8040
11/10/25,Vitality,FaZe,inf,16 - 15,+1,1.33,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8040
11/10/25,Vitality,FaZe,mrg,39 - 25,+14,1.51,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8040
10/10/25,Vitality,FURIA,nuke,23 - 11,+12,1.68,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8040
10/10/25,Vitality,FURIA,inf,18 - 13,+5,1.35,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8040
10/10/25,Vitality,FURIA,ovp,19 - 19,0,1.10,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8040
07/10/25,Vitality,G2,mrg,25 - 22,+3,1.14,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8040
07/10/25,Vitality,G2,inf,12 - 4,+8,1.51,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8040
06/10/25,Vitality,HOTU,d2,9 - 9,0,0.90,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8040
06/10/25,Vitality,HOTU,ovp,20 - 10,+10,1.59,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8040
05/10/25,Vitality,GamerLegion,d2,21 - 8,+13,2.47,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8040
05/10/25,Vitality,GamerLegion,ovp,19 - 5,+14,1.77,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8040
04/10/25,Vitality,Gentle Mates,trn,15 - 13,+2,0.98,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8040
04/10/25,Vitality,Gentle Mates,nuke,14 - 14,0,0.91,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8040
07/09/25,Vitality,G2,trn,11 - 16,-5,0.85,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7912
07/09/25,Vitality,G2,inf,17 - 22,-5,0.72,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7912
07/09/25,Vitality,G2,ovp,20 - 10,+10,1.90,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7912
07/09/25,Vitality,G2,mrg,30 - 6,+24,2.61,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7912
07/09/25,Vitality,G2,d2,9 - 13,-4,1.03,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7912
06/09/25,Vitality,MOUZ,inf,19 - 12,+7,1.56,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7912
06/09/25,Vitality,MOUZ,mrg,16 - 9,+7,1.32,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7912
01/09/25,Vitality,FaZe,inf,21 - 10,+11,1.60,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7907
01/09/25,Vitality,FaZe,nuke,16 - 22,-6,0.92,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7907
01/09/25,Vitality,FaZe,mrg,26 - 26,0,1.03,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7907
29/08/25,Vitality,GamerLegion,nuke,12 - 7,+5,1.55,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7907
29/08/25,Vitality,GamerLegion,inf,13 - 13,0,1.08,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7907
29/08/25,Vitality,GamerLegion,trn,21 - 11,+10,1.50,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7907
27/08/25,Vitality,M80,inf,13 - 14,-1,1.27,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7907
27/08/25,Vitality,M80,d2,24 - 13,+11,1.73,https://www.hltv.org/stats/players/matches/11893/zywoo?event=7907
