event_name,location,event_id,date,player_team,opponent,map,kd,plus_minus,rating
IEM Dallas 2025,"Dallas",8037,19/05/25,Vitality,Legacy,inf,13 - 8,+5,1.34
BLAST Rivals 2025 Season 1,"Copenhagen",7905,04/05/25,Vitality,Falcons,nuke,20 - 11,+9,1.79
BLAST Rivals 2025 Season 1,"Copenhagen",7905,04/05/25,Vitality,Falcons,mrg,25 - 21,+4,1.47
BLAST Rivals 2025 Season 1,"Copenhagen",7905,04/05/25,Vitality,Falcons,trn,10 - 9,+1,0.98
BLAST Rivals 2025 Season 1,"Copenhagen",7905,04/05/25,Vitality,Falcons,d2,17 - 10,+7,1.72
BLAST Rivals 2025 Season 1,"Copenhagen",7905,04/05/25,Vitality,Falcons,inf,18 - 15,+3,1.26
BLAST Rivals 2025 Season 1,"Copenhagen",7905,03/05/25,Vitality,Spirit,nuke,16 - 17,-1,0.89
BLAST Rivals 2025 Season 1,"Copenhagen",7905,03/05/25,Vitality,Spirit,mrg,25 - 13,+12,2.06
BLAST Rivals 2025 Season 1,"Copenhagen",7905,01/05/25,Vitality,MOUZ,trn,20 - 15,+5,1.54
BLAST Rivals 2025 Season 1,"Copenhagen",7905,01/05/25,Vitality,MOUZ,inf,13 - 14,-1,0.96
BLAST Rivals 2025 Season 1,"Copenhagen",7905,01/05/25,Vitality,MOUZ,mrg,18 - 17,+1,1.05
BLAST Rivals 2025 Season 1,"Copenhagen",7905,30/04/25,Vitality,Wildcard,d2,14 - 11,+3,1.12
BLAST Rivals 2025 Season 1,"Copenhagen",7905,30/04/25,Vitality,Wildcard,inf,13 - 12,+1,1.08
IEM Melbourne 2025,"Melbourne",8036,27/04/25,Vitality,Falcons,nuke,35 - 31,+4,1.38
IEM Melbourne 2025,"Melbourne",8036,27/04/25,Vitality,Falcons,mrg,18 - 15,+3,1.09
IEM Melbourne 2025,"Melbourne",8036,27/04/25,Vitality,Falcons,trn,24 - 14,+10,1.54
IEM Melbourne 2025,"Melbourne",8036,27/04/25,Vitality,Falcons,d2,16 - 17,-1,0.92
IEM Melbourne 2025,"Melbourne",8036,27/04/25,Vitality,Falcons,inf,17 - 5,+12,2.36
IEM Melbourne 2025,"Melbourne",8036,26/04/25,Vitality,The MongolZ,nuke,22 - 6,+16,2.33
IEM Melbourne 2025,"Melbourne",8036,26/04/25,Vitality,The MongolZ,mrg,16 - 5,+11,1.75
IEM Melbourne 2025,"Melbourne",8036,23/04/25,Vitality,Falcons,inf,18 - 11,+7,1.52
