event_name,location_city,date,player_team,opponent,map,kd,plus_minus,rating,location_openaq,co,no,no2,nox,o3,pm10,pm25,so2
BLAST Premier Spring Final 2024,London,2024-06-13,Vitality,G2,inf,14 - 8,6,1.28,Camden - Bloomsbury,,,14.6,,60.4,11.2,6.0,4.87
BLAST Premier Spring Final 2024,London,2024-06-13,Vitality,G2,mrg,15 - 9,6,1.41,Camden - Bloomsbury,,,14.6,,60.4,11.2,6.0,4.87
BLAST Premier Spring Final 2024,London,2024-06-14,Vitality,FaZe,d2,14 - 15,-1,0.96,Camden - Bloomsbury,,,8.45,,60.7,8.55,4.05,3.81
BLAST Premier Spring Final 2024,London,2024-06-14,Vitality,FaZe,inf,15 - 13,2,1.16,Camden - Bloomsbury,,,8.45,,60.7,8.55,4.05,3.81
BLAST Premier Spring Final 2024,London,2024-06-14,Vitality,FaZe,mrg,19 - 12,7,1.72,Camden - Bloomsbury,,,8.45,,60.7,8.55,4.05,3.81
BLAST Premier Spring Final 2024,London,2024-06-15,Vitality,Spirit,anb,15 - 15,0,1.17,Camden - Bloomsbury,,,7.21,,60.4,7.64,3.95,4.15
BLAST Premier Spring Final 2024,London,2024-06-15,Vitality,Spirit,d2,16 - 15,1,1.0,Camden - Bloomsbury,,,7.21,,60.4,7.64,3.95,4.15
BLAST Premier Spring Final 2024,London,2024-06-15,Vitality,Spirit,mrg,23 - 15,8,1.34,Camden - Bloomsbury,,,7.21,,60.4,7.64,3.95,4.15
BLAST Premier Spring Groups 2023,Copenhagen,2023-01-19,Vitality,Astralis,ovp,18 - 15,3,1.05,"""Copenhagen/1259""",182.0,,14.4,,40.1,,,
BLAST Premier Spring Groups 2023,Copenhagen,2023-01-19,Vitality,Astralis,vtg,30 - 19,11,1.31,"""Copenhagen/1259""",182.0,,14.4,,40.1,,,
BLAST Premier Spring Groups 2023,Copenhagen,2023-01-21,Vitality,Evil Geniuses,inf,22 - 7,15,2.35,"""Copenhagen/1259""",194.0,,6.35,,41.3,,,
BLAST Premier Spring Groups 2023,Copenhagen,2023-01-21,Vitality,Evil Geniuses,ovp,25 - 13,12,1.59,"""Copenhagen/1259""",194.0,,6.35,,41.3,,,
BLAST Premier Spring Groups 2023,Copenhagen,2023-01-25,Vitality,HEROIC,mrg,24 - 11,13,1.49,"""Copenhagen/1259""",188.0,,9.7,,41.7,,,
BLAST Premier Spring Groups 2023,Copenhagen,2023-01-25,Vitality,HEROIC,nuke,20 - 17,3,1.26,"""Copenhagen/1259""",188.0,,9.7,,41.7,,,
BLAST Premier Spring Groups 2023,Copenhagen,2023-01-25,Vitality,HEROIC,vtg,19 - 11,8,1.34,"""Copenhagen/1259""",188.0,,9.7,,41.7,,,
BLAST Premier Spring Groups 2024,Copenhagen,2024-01-22,Vitality,OG,inf,16 - 12,4,1.1,"""Copenhagen/1259""",203.0,4.2,4.12,,68.0,,,
BLAST Premier Spring Groups 2024,Copenhagen,2024-01-22,Vitality,OG,mrg,17 - 4,13,2.21,"""Copenhagen/1259""",203.0,4.2,4.12,,68.0,,,
BLAST Premier Spring Groups 2024,Copenhagen,2024-01-23,Vitality,Astralis,mrg,17 - 13,4,1.08,"""Copenhagen/1259""",166.0,4.95,4.84,,73.4,,,
BLAST Premier Spring Groups 2024,Copenhagen,2024-01-23,Vitality,Astralis,ovp,17 - 13,4,1.78,"""Copenhagen/1259""",166.0,4.95,4.84,,73.4,,,
BLAST Premier Spring Groups 2024,Copenhagen,2024-01-23,Vitality,Astralis,vtg,23 - 8,15,2.18,"""Copenhagen/1259""",166.0,4.95,4.84,,73.4,,,
BLAST Premier Spring Groups 2024,Copenhagen,2024-01-26,Vitality,Falcons,anb,19 - 12,7,1.27,"""Copenhagen/1259""",170.0,7.09,6.53,,64.7,,,
BLAST Premier Spring Groups 2024,Copenhagen,2024-01-26,Vitality,Falcons,nuke,31 - 25,6,1.25,"""Copenhagen/1259""",170.0,7.09,6.53,,64.7,,,
BLAST Premier Spring Groups 2024,Copenhagen,2024-01-26,Vitality,Falcons,vtg,24 - 11,13,2.07,"""Copenhagen/1259""",170.0,7.09,6.53,,64.7,,,
BLAST Premier Spring Groups 2024,Copenhagen,2024-01-27,Vitality,Astralis,inf,13 - 14,-1,0.98,"""Copenhagen/1259""",159.0,3.81,3.72,,66.5,,,
BLAST Premier Spring Groups 2024,Copenhagen,2024-01-27,Vitality,Astralis,mrg,30 - 18,12,1.71,"""Copenhagen/1259""",159.0,3.81,3.72,,66.5,,,
BLAST Premier Spring Groups 2024,Copenhagen,2024-01-27,Vitality,Astralis,nuke,22 - 7,15,2.02,"""Copenhagen/1259""",159.0,3.81,3.72,,66.5,,,
BLAST Premier Spring Series 2020,London,2020-02-08,Vitality,Complexity,inf,17 - 16,1,1.13,Camden - Bloomsbury,,,25.2,,47.9,22.0,18.1,4.43
BLAST Premier Spring Series 2020,London,2020-02-08,Vitality,Complexity,mrg,16 - 18,-2,0.98,Camden - Bloomsbury,,,25.2,,47.9,22.0,18.1,4.43
BLAST Premier Spring Series 2020,London,2020-02-09,Vitality,Natus Vincere,d2,17 - 17,0,1.18,Camden - Bloomsbury,,,12.8,,66.8,11.2,9.57,4.61
BLAST Premier Spring Series 2020,London,2020-02-09,Vitality,Natus Vincere,inf,14 - 16,-2,0.91,Camden - Bloomsbury,,,12.8,,66.8,11.2,9.57,4.61
BLAST Premier World Final 2021,Copenhagen,2021-12-15,Vitality,Astralis,mrg,29 - 8,21,2.25,"""Copenhagen/1259""",171.0,,9.33,,53.0,,,
BLAST Premier World Final 2021,Copenhagen,2021-12-15,Vitality,Astralis,nuke,23 - 5,18,1.92,"""Copenhagen/1259""",171.0,,9.33,,53.0,,,
BLAST Premier World Final 2021,Copenhagen,2021-12-16,Vitality,G2,mrg,21 - 17,4,1.18,"""Copenhagen/1259""",180.0,,8.73,,56.9,,,
BLAST Premier World Final 2021,Copenhagen,2021-12-16,Vitality,G2,nuke,21 - 13,8,1.39,"""Copenhagen/1259""",180.0,,8.73,,56.9,,,
BLAST Premier World Final 2021,Copenhagen,2021-12-18,Vitality,Gambit,d2,30 - 25,5,1.24,"""Copenhagen/1259""",174.0,,5.58,,57.9,,,
BLAST Premier World Final 2021,Copenhagen,2021-12-18,Vitality,Gambit,vtg,28 - 18,10,1.55,"""Copenhagen/1259""",174.0,,5.58,,57.9,,,
BLAST Premier World Final 2021,Copenhagen,2021-12-19,Vitality,Natus Vincere,d2,9 - 16,-7,0.6,"""Copenhagen/1259""",145.0,,3.88,,65.0,,,
BLAST Premier World Final 2021,Copenhagen,2021-12-19,Vitality,Natus Vincere,nuke,19 - 20,-1,1.03,"""Copenhagen/1259""",145.0,,3.88,,65.0,,,
BLAST Rivals 2025 Season 1,Copenhagen,2025-04-30,Vitality,Wildcard,d2,14 - 11,3,1.12,"""Copenhagen/1259""",138.0,,3.46,,81.2,,,
BLAST Rivals 2025 Season 1,Copenhagen,2025-04-30,Vitality,Wildcard,inf,13 - 12,1,1.08,"""Copenhagen/1259""",138.0,,3.46,,81.2,,,
BLAST Rivals 2025 Season 1,Copenhagen,2025-05-01,Vitality,MOUZ,inf,13 - 14,-1,0.96,"""Copenhagen/1259""",158.0,,6.44,,81.6,,,
BLAST Rivals 2025 Season 1,Copenhagen,2025-05-01,Vitality,MOUZ,mrg,18 - 17,1,1.05,"""Copenhagen/1259""",158.0,,6.44,,81.6,,,
